Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
sheep,9.0,100.6,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
goat,9.0,103.0,blisters on tongue,loss of appetite,lameness,foot and mouth
buffalo,5.0,100.8,painless lumps,depression,loss of appetite,lumpy virus
sheep,6.0,101.5,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,10.0,102.0,difficulty walking,loss of appetite,depression,blackleg
buffalo,3.0,102.3,painless lumps,depression,loss of appetite,lumpy virus
goat,7.0,100.0,swelling in limb,loss of appetite,depression,blackleg
cow,2.0,103.8,loss of appetite,difficulty walking,sores on tongue,foot and mouth
cow,1.0,101.2,chills,chest discomfort,swelling in neck,anthrax
sheep,6.0,104.8,painless lumps,loss of appetite,depression,lumpy virus
goat,5.0,101.1,swelling in limb,crackling sound,loss of appetite,blackleg
sheep,8.0,100.0,loss of appetite,difficulty walking,blisters on gums,foot and mouth
goat,6.0,102.1,lameness,loss of appetite,blisters on gums,foot and mouth
goat,4.0,100.0,swelling in muscle,difficulty walking,loss of appetite,blackleg
goat,9.0,100.9,lameness,loss of appetite,sores on gums,foot and mouth
sheep,8.0,102.6,depression,swelling in muscle,difficulty walking,blackleg
goat,1.0,101.5,loss of appetite,depression,painless lumps,lumpy virus
cow,5.0,101.9,depression,lameness,loss of appetite,blackleg
sheep,6.0,102.2,swelling in neck,sweats,chest discomfort,anthrax
buffalo,13.0,100.4,fatigue,shortness of breath,chills,anthrax
goat,5.0,102.8,lameness,loss of appetite,sores on gums,foot and mouth
cow,1.0,104.9,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,7.0,101.1,difficulty walking,crackling sound,depression,blackleg
buffalo,8.0,100.5,loss of appetite,lameness,blisters on tongue,foot and mouth
sheep,9.0,100.0,sores on mouth,loss of appetite,lameness,foot and mouth
cow,5.0,102.3,depression,loss of appetite,painless lumps,pneumonia
sheep,8.0,101.5,sweats,chest discomfort,swelling in extremities,anthrax
buffalo,4.0,102.7,loss of appetite,swelling in muscle,depression,blackleg
goat,6.0,102.0,loss of appetite,painless lumps,depression,lumpy virus
buffalo,13.0,100.4,difficulty walking,depression,loss of appetite,blackleg
buffalo,15.0,101.3,swelling in abdomen,chest discomfort,fatigue,anthrax
goat,8.0,101.5,shortness of breath,chills,fatigue,anthrax
sheep,10.0,100.8,shortness of breath,fatigue,chills,anthrax
cow,9.0,103.0,sweats,chest discomfort,swelling in neck,anthrax
goat,8.0,102.1,lameness,depression,swelling in muscle,blackleg
cow,12.0,104.3,blisters on gums,loss of appetite,difficulty walking,foot and mouth
sheep,10.0,103.5,loss of appetite,depression,painless lumps,pneumonia
goat,7.0,100.2,loss of appetite,depression,painless lumps,lumpy virus
goat,2.0,102.5,sores on mouth,difficulty walking,loss of appetite,foot and mouth
cow,15.0,101.7,crackling sound,loss of appetite,swelling in limb,blackleg
sheep,9.0,101.1,loss of appetite,swelling in limb,lameness,blackleg
buffalo,6.0,101.8,lameness,loss of appetite,depression,blackleg
buffalo,9.0,102.2,loss of appetite,depression,painless lumps,lumpy virus
buffalo,15.0,100.8,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
sheep,4.0,103.5,chest discomfort,shortness of breath,fatigue,anthrax
goat,7.0,101.2,sweats,chest discomfort,fatigue,anthrax
buffalo,11.0,103.1,swelling in abdomen,sweats,fatigue,anthrax
cow,5.0,100.2,shortness of breath,sweats,chills,anthrax
buffalo,13.0,101.3,loss of appetite,swelling in muscle,crackling sound,blackleg
cow,7.0,101.6,painless lumps,loss of appetite,depression,pneumonia
sheep,5.0,102.7,lameness,sores on mouth,loss of appetite,foot and mouth
goat,5.0,103.6,painless lumps,loss of appetite,depression,pneumonia
goat,4.0,104.1,depression,crackling sound,lameness,blackleg
goat,1.0,103.9,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
cow,4.0,101.0,chest discomfort,swelling in extremities,sweats,anthrax
sheep,2.0,100.3,swelling in muscle,depression,difficulty walking,blackleg
buffalo,11.0,101.1,blisters on mouth,loss of appetite,lameness,foot and mouth
sheep,1.0,103.3,depression,painless lumps,loss of appetite,lumpy virus
goat,2.0,100.4,depression,painless lumps,loss of appetite,lumpy virus
cow,6.0,102.9,loss of appetite,depression,painless lumps,pneumonia
goat,1.0,101.7,depression,painless lumps,loss of appetite,pneumonia
buffalo,11.0,102.5,shortness of breath,chills,sweats,anthrax
cow,9.0,101.1,sweats,chest discomfort,chills,anthrax
cow,3.0,104.2,loss of appetite,painless lumps,depression,pneumonia
goat,5.0,102.8,difficulty walking,swelling in muscle,crackling sound,blackleg
buffalo,6.0,104.9,loss of appetite,depression,painless lumps,lumpy virus
buffalo,8.0,100.2,shortness of breath,chills,fatigue,anthrax
sheep,1.0,104.3,crackling sound,depression,lameness,blackleg
cow,4.0,101.0,loss of appetite,sores on gums,lameness,foot and mouth
cow,5.0,100.8,swelling in abdomen,sweats,chills,anthrax
cow,8.0,102.1,difficulty walking,sores on gums,loss of appetite,foot and mouth
cow,9.0,102.1,sores on hooves,lameness,loss of appetite,foot and mouth
buffalo,15.0,100.7,painless lumps,loss of appetite,depression,lumpy virus
sheep,8.0,102.7,sores on mouth,loss of appetite,lameness,foot and mouth
cow,15.0,100.8,loss of appetite,blisters on mouth,lameness,foot and mouth
sheep,9.0,104.9,sores on tongue,lameness,loss of appetite,foot and mouth
goat,2.0,101.2,blisters on tongue,lameness,loss of appetite,foot and mouth
cow,1.0,101.4,painless lumps,depression,loss of appetite,pneumonia
buffalo,12.0,102.6,depression,painless lumps,loss of appetite,lumpy virus
goat,10.0,104.4,difficulty walking,crackling sound,loss of appetite,blackleg
goat,7.0,101.3,depression,crackling sound,difficulty walking,blackleg
sheep,8.0,103.7,loss of appetite,painless lumps,depression,lumpy virus
buffalo,8.0,103.7,loss of appetite,crackling sound,depression,blackleg
sheep,1.0,100.1,loss of appetite,depression,painless lumps,lumpy virus
goat,6.0,101.5,chest discomfort,shortness of breath,sweats,anthrax
buffalo,7.0,102.1,fatigue,sweats,chills,anthrax
buffalo,1.0,101.3,chills,chest discomfort,sweats,anthrax
cow,9.0,102.5,depression,painless lumps,loss of appetite,lumpy virus
buffalo,3.0,103.7,loss of appetite,difficulty walking,blisters on gums,foot and mouth
goat,8.0,101.1,lameness,loss of appetite,sores on gums,foot and mouth
buffalo,10.0,101.3,painless lumps,depression,loss of appetite,lumpy virus
cow,1.0,101.3,swelling in abdomen,chills,chest discomfort,anthrax
sheep,10.0,101.4,painless lumps,depression,loss of appetite,pneumonia
buffalo,1.0,104.4,loss of appetite,crackling sound,depression,blackleg
goat,1.0,101.2,painless lumps,depression,loss of appetite,lumpy virus
sheep,1.0,102.6,loss of appetite,depression,painless lumps,lumpy virus
buffalo,13.0,101.7,chills,chest discomfort,fatigue,anthrax
buffalo,10.0,102.4,loss of appetite,depression,painless lumps,lumpy virus
buffalo,15.0,101.7,depression,painless lumps,loss of appetite,pneumonia
buffalo,11.0,101.9,loss of appetite,depression,painless lumps,lumpy virus
cow,4.0,101.9,chills,swelling in extremities,fatigue,anthrax
goat,1.0,102.6,loss of appetite,painless lumps,depression,lumpy virus
buffalo,7.0,100.3,depression,difficulty walking,swelling in muscle,blackleg
goat,2.0,102.1,loss of appetite,lameness,blisters on gums,foot and mouth
sheep,10.0,102.0,loss of appetite,painless lumps,depression,lumpy virus
buffalo,3.0,100.2,loss of appetite,crackling sound,depression,blackleg
sheep,5.0,102.9,loss of appetite,crackling sound,swelling in limb,blackleg
cow,6.0,101.3,sores on hooves,difficulty walking,loss of appetite,foot and mouth
cow,4.0,104.9,loss of appetite,painless lumps,depression,lumpy virus
goat,8.0,100.4,painless lumps,depression,loss of appetite,lumpy virus
cow,4.0,104.0,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
goat,2.0,100.6,lameness,loss of appetite,crackling sound,blackleg
sheep,7.0,103.4,chest discomfort,fatigue,chills,anthrax
buffalo,13.0,103.7,lameness,sores on gums,loss of appetite,foot and mouth
goat,5.0,101.4,loss of appetite,painless lumps,depression,pneumonia
cow,9.0,101.9,swelling in limb,crackling sound,loss of appetite,blackleg
buffalo,4.0,101.0,fatigue,chills,chest discomfort,anthrax
buffalo,1.0,103.8,loss of appetite,painless lumps,depression,lumpy virus
sheep,7.0,101.1,crackling sound,depression,swelling in limb,blackleg
cow,2.0,101.1,painless lumps,depression,loss of appetite,pneumonia
goat,4.0,100.3,swelling in abdomen,chills,shortness of breath,anthrax
cow,11.0,101.1,swelling in extremities,fatigue,chest discomfort,anthrax
goat,4.0,102.7,painless lumps,loss of appetite,depression,pneumonia
goat,9.0,102.9,depression,swelling in muscle,lameness,blackleg
sheep,10.0,104.8,loss of appetite,depression,painless lumps,lumpy virus
cow,15.0,102.5,depression,loss of appetite,painless lumps,lumpy virus
buffalo,1.0,102.2,sores on hooves,loss of appetite,difficulty walking,foot and mouth
cow,2.0,100.4,loss of appetite,lameness,blisters on mouth,foot and mouth
cow,6.0,102.5,swelling in limb,crackling sound,loss of appetite,blackleg
goat,5.0,104.5,loss of appetite,painless lumps,depression,lumpy virus
cow,10.0,101.3,loss of appetite,difficulty walking,crackling sound,blackleg
sheep,7.0,102.5,crackling sound,difficulty walking,swelling in muscle,blackleg
sheep,9.0,101.8,sweats,chills,shortness of breath,anthrax
sheep,9.0,103.4,lameness,blisters on hooves,loss of appetite,foot and mouth
goat,1.0,104.7,depression,loss of appetite,painless lumps,lumpy virus
goat,1.0,104.0,swelling in extremities,chest discomfort,fatigue,anthrax
goat,4.0,100.8,depression,loss of appetite,painless lumps,lumpy virus
goat,4.0,104.7,painless lumps,loss of appetite,depression,lumpy virus
cow,1.0,100.2,shortness of breath,fatigue,chills,anthrax
sheep,4.0,100.5,painless lumps,depression,loss of appetite,pneumonia
goat,3.0,102.7,painless lumps,depression,loss of appetite,pneumonia
goat,2.0,101.5,difficulty walking,sores on hooves,loss of appetite,foot and mouth
goat,2.0,104.9,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
goat,8.0,100.2,chest discomfort,sweats,chills,anthrax
cow,8.0,100.4,sweats,chest discomfort,fatigue,anthrax
sheep,3.0,104.5,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,7.0,102.0,depression,loss of appetite,crackling sound,blackleg
buffalo,12.0,102.3,depression,difficulty walking,swelling in limb,blackleg
cow,15.0,105.0,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
cow,12.0,101.1,swelling in extremities,chest discomfort,shortness of breath,anthrax
goat,7.0,101.9,loss of appetite,lameness,blisters on mouth,foot and mouth
cow,9.0,100.7,shortness of breath,chills,chest discomfort,anthrax
buffalo,14.0,104.6,depression,painless lumps,loss of appetite,pneumonia
cow,7.0,103.0,chest discomfort,swelling in neck,fatigue,anthrax
goat,8.0,102.9,sweats,shortness of breath,chest discomfort,anthrax
goat,7.0,103.1,painless lumps,loss of appetite,depression,pneumonia
buffalo,9.0,104.8,depression,crackling sound,lameness,blackleg
sheep,10.0,101.9,loss of appetite,swelling in muscle,depression,blackleg
cow,13.0,102.6,crackling sound,swelling in limb,depression,blackleg
cow,2.0,100.5,swelling in limb,difficulty walking,depression,blackleg
goat,9.0,100.2,depression,difficulty walking,loss of appetite,blackleg
buffalo,1.0,102.1,painless lumps,depression,loss of appetite,pneumonia
cow,10.0,103.1,lameness,loss of appetite,depression,blackleg
sheep,3.0,101.1,painless lumps,loss of appetite,depression,pneumonia
cow,13.0,104.5,fatigue,swelling in extremities,sweats,anthrax
cow,2.0,100.8,depression,painless lumps,loss of appetite,lumpy virus
sheep,7.0,100.8,shortness of breath,swelling in extremities,chills,anthrax
buffalo,9.0,102.8,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
cow,10.0,100.4,loss of appetite,lameness,sores on tongue,foot and mouth
sheep,9.0,100.7,chills,shortness of breath,fatigue,anthrax
goat,6.0,102.2,sweats,swelling in extremities,chest discomfort,anthrax
buffalo,5.0,100.7,depression,loss of appetite,painless lumps,pneumonia
sheep,8.0,103.4,painless lumps,depression,loss of appetite,pneumonia
buffalo,2.0,101.5,swelling in extremities,sweats,shortness of breath,anthrax
buffalo,11.0,100.3,difficulty walking,depression,swelling in limb,blackleg
sheep,4.0,103.2,difficulty walking,swelling in muscle,depression,blackleg
cow,9.0,104.3,loss of appetite,depression,crackling sound,blackleg
sheep,9.0,102.4,loss of appetite,painless lumps,depression,lumpy virus
cow,10.0,100.2,loss of appetite,difficulty walking,sores on gums,foot and mouth
buffalo,15.0,101.2,loss of appetite,depression,painless lumps,lumpy virus
buffalo,7.0,105.0,shortness of breath,chest discomfort,fatigue,anthrax
goat,6.0,101.2,crackling sound,difficulty walking,loss of appetite,blackleg
cow,7.0,104.5,loss of appetite,painless lumps,depression,lumpy virus
cow,9.0,101.4,depression,painless lumps,loss of appetite,pneumonia
goat,4.0,100.8,depression,painless lumps,loss of appetite,lumpy virus
cow,10.0,104.9,loss of appetite,painless lumps,depression,lumpy virus
cow,12.0,103.5,painless lumps,loss of appetite,depression,pneumonia
goat,7.0,104.0,loss of appetite,difficulty walking,sores on hooves,foot and mouth
buffalo,8.0,100.4,chest discomfort,fatigue,sweats,anthrax
goat,4.0,102.9,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
buffalo,2.0,101.5,difficulty walking,loss of appetite,sores on hooves,foot and mouth
cow,2.0,103.5,chest discomfort,fatigue,swelling in extremities,anthrax
sheep,9.0,100.5,loss of appetite,painless lumps,depression,lumpy virus
sheep,5.0,103.3,crackling sound,loss of appetite,depression,blackleg
sheep,2.0,103.8,depression,painless lumps,loss of appetite,lumpy virus
goat,3.0,101.0,fatigue,sweats,chest discomfort,anthrax
goat,7.0,104.1,swelling in muscle,depression,lameness,blackleg
cow,10.0,102.1,painless lumps,loss of appetite,depression,pneumonia
buffalo,3.0,104.1,loss of appetite,crackling sound,lameness,blackleg
cow,12.0,101.8,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,2.0,102.4,painless lumps,depression,loss of appetite,pneumonia
sheep,1.0,102.5,sores on mouth,lameness,loss of appetite,foot and mouth
cow,10.0,101.1,painless lumps,loss of appetite,depression,lumpy virus
goat,10.0,100.3,swelling in limb,depression,loss of appetite,blackleg
sheep,5.0,101.2,chills,sweats,shortness of breath,anthrax
cow,4.0,104.7,blisters on gums,lameness,loss of appetite,foot and mouth
sheep,4.0,102.5,swelling in abdomen,chills,shortness of breath,anthrax
sheep,6.0,104.3,loss of appetite,lameness,blisters on tongue,foot and mouth
sheep,6.0,101.3,depression,swelling in muscle,loss of appetite,blackleg
sheep,1.0,102.5,swelling in abdomen,chest discomfort,shortness of breath,anthrax
buffalo,13.0,102.9,loss of appetite,sores on gums,lameness,foot and mouth
buffalo,7.0,100.9,painless lumps,loss of appetite,depression,lumpy virus
buffalo,7.0,104.7,depression,lameness,swelling in limb,blackleg
buffalo,2.0,100.6,swelling in muscle,depression,difficulty walking,blackleg
sheep,2.0,104.6,sweats,shortness of breath,chest discomfort,anthrax
sheep,1.0,102.1,fatigue,sweats,shortness of breath,anthrax
sheep,5.0,101.0,depression,crackling sound,loss of appetite,blackleg
goat,7.0,104.9,depression,loss of appetite,swelling in muscle,blackleg
goat,9.0,102.3,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,1.0,100.6,loss of appetite,painless lumps,depression,pneumonia
cow,3.0,102.6,lameness,loss of appetite,crackling sound,blackleg
cow,13.0,101.2,loss of appetite,blisters on hooves,lameness,foot and mouth
goat,5.0,102.1,depression,loss of appetite,painless lumps,pneumonia
buffalo,3.0,104.7,depression,painless lumps,loss of appetite,lumpy virus
sheep,4.0,100.4,loss of appetite,depression,painless lumps,pneumonia
sheep,3.0,103.2,loss of appetite,painless lumps,depression,pneumonia
cow,1.0,102.6,depression,crackling sound,swelling in muscle,blackleg
goat,7.0,103.0,loss of appetite,swelling in muscle,lameness,blackleg
sheep,6.0,100.3,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
sheep,4.0,103.9,painless lumps,depression,loss of appetite,pneumonia
cow,5.0,100.8,painless lumps,loss of appetite,depression,pneumonia
sheep,5.0,103.4,painless lumps,loss of appetite,depression,lumpy virus
cow,3.0,100.9,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
cow,13.0,101.6,painless lumps,depression,loss of appetite,pneumonia
cow,2.0,101.6,loss of appetite,depression,painless lumps,lumpy virus
goat,10.0,101.3,painless lumps,depression,loss of appetite,lumpy virus
buffalo,11.0,103.0,lameness,loss of appetite,blisters on mouth,foot and mouth
buffalo,9.0,103.5,loss of appetite,painless lumps,depression,lumpy virus
goat,4.0,104.4,depression,loss of appetite,painless lumps,lumpy virus
cow,6.0,102.7,chest discomfort,fatigue,shortness of breath,anthrax
sheep,10.0,100.7,loss of appetite,depression,painless lumps,pneumonia
sheep,2.0,100.4,chills,sweats,chest discomfort,anthrax
sheep,3.0,103.6,painless lumps,depression,loss of appetite,lumpy virus
goat,6.0,102.3,loss of appetite,depression,painless lumps,pneumonia
sheep,7.0,101.0,painless lumps,loss of appetite,depression,pneumonia
cow,9.0,101.1,painless lumps,loss of appetite,depression,lumpy virus
cow,5.0,101.3,loss of appetite,sores on hooves,lameness,foot and mouth
goat,7.0,104.4,chills,chest discomfort,swelling in neck,anthrax
goat,1.0,104.0,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
sheep,3.0,101.7,loss of appetite,painless lumps,depression,lumpy virus
cow,7.0,101.4,depression,loss of appetite,painless lumps,pneumonia
sheep,8.0,102.1,swelling in neck,sweats,fatigue,anthrax
buffalo,12.0,102.1,loss of appetite,depression,painless lumps,lumpy virus
goat,10.0,100.8,blisters on gums,difficulty walking,loss of appetite,foot and mouth
cow,8.0,101.5,painless lumps,loss of appetite,depression,lumpy virus
goat,6.0,102.9,chest discomfort,chills,sweats,anthrax
goat,5.0,102.7,loss of appetite,depression,painless lumps,pneumonia
goat,9.0,101.8,depression,loss of appetite,painless lumps,lumpy virus
sheep,3.0,103.1,sores on gums,lameness,loss of appetite,foot and mouth
cow,15.0,101.4,chills,fatigue,shortness of breath,anthrax
cow,2.0,101.7,painless lumps,depression,loss of appetite,lumpy virus
cow,14.0,104.8,loss of appetite,swelling in muscle,depression,blackleg
sheep,9.0,102.1,fatigue,sweats,chills,anthrax
sheep,7.0,104.6,loss of appetite,depression,painless lumps,lumpy virus
goat,5.0,101.7,swelling in abdomen,shortness of breath,sweats,anthrax
cow,8.0,103.5,sweats,swelling in abdomen,chills,anthrax
goat,1.0,101.4,painless lumps,depression,loss of appetite,pneumonia
cow,15.0,103.4,painless lumps,loss of appetite,depression,pneumonia
cow,2.0,102.0,lameness,depression,swelling in limb,blackleg
goat,9.0,104.2,difficulty walking,crackling sound,depression,blackleg
sheep,3.0,101.1,chills,fatigue,shortness of breath,anthrax
cow,11.0,102.2,crackling sound,lameness,loss of appetite,blackleg
goat,10.0,101.1,shortness of breath,fatigue,swelling in neck,anthrax
buffalo,1.0,100.2,swelling in muscle,difficulty walking,depression,blackleg
buffalo,2.0,104.4,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,12.0,100.8,painless lumps,depression,loss of appetite,lumpy virus
sheep,6.0,100.0,loss of appetite,painless lumps,depression,pneumonia
buffalo,1.0,103.5,painless lumps,depression,loss of appetite,lumpy virus
cow,8.0,100.0,loss of appetite,blisters on gums,lameness,foot and mouth
goat,8.0,103.7,difficulty walking,sores on gums,loss of appetite,foot and mouth
sheep,6.0,100.7,loss of appetite,depression,crackling sound,blackleg
sheep,5.0,100.8,crackling sound,difficulty walking,depression,blackleg
cow,10.0,100.6,depression,painless lumps,loss of appetite,lumpy virus
buffalo,5.0,101.2,shortness of breath,chest discomfort,swelling in neck,anthrax
sheep,8.0,101.6,depression,painless lumps,loss of appetite,pneumonia
goat,1.0,103.5,painless lumps,depression,loss of appetite,lumpy virus
sheep,2.0,100.4,painless lumps,depression,loss of appetite,pneumonia
cow,13.0,103.3,swelling in limb,lameness,crackling sound,blackleg
sheep,9.0,102.7,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
sheep,3.0,101.3,depression,loss of appetite,crackling sound,blackleg
sheep,2.0,100.2,crackling sound,depression,swelling in muscle,blackleg
sheep,5.0,104.6,depression,loss of appetite,painless lumps,pneumonia
goat,6.0,101.9,painless lumps,depression,loss of appetite,lumpy virus
sheep,8.0,100.2,sweats,swelling in neck,chills,anthrax
buffalo,14.0,102.1,chills,shortness of breath,sweats,anthrax
cow,3.0,100.2,swelling in neck,sweats,chest discomfort,anthrax
sheep,2.0,103.0,difficulty walking,depression,crackling sound,blackleg
cow,10.0,100.9,loss of appetite,depression,painless lumps,pneumonia
sheep,7.0,101.9,painless lumps,loss of appetite,depression,pneumonia
sheep,5.0,103.9,depression,loss of appetite,lameness,blackleg
goat,2.0,100.9,sweats,chills,fatigue,anthrax
sheep,9.0,101.8,swelling in muscle,crackling sound,depression,blackleg
goat,10.0,104.3,loss of appetite,painless lumps,depression,pneumonia
goat,9.0,100.2,shortness of breath,fatigue,sweats,anthrax
buffalo,6.0,101.8,fatigue,swelling in neck,chills,anthrax
cow,3.0,104.5,chills,sweats,swelling in abdomen,anthrax
buffalo,13.0,102.1,fatigue,chest discomfort,sweats,anthrax
goat,2.0,102.5,depression,loss of appetite,lameness,blackleg
cow,14.0,100.8,chills,shortness of breath,swelling in extremities,anthrax
buffalo,12.0,101.7,painless lumps,loss of appetite,depression,lumpy virus
buffalo,13.0,103.4,loss of appetite,depression,painless lumps,pneumonia
cow,10.0,100.2,sweats,chest discomfort,swelling in abdomen,anthrax
cow,12.0,100.5,shortness of breath,chest discomfort,fatigue,anthrax
sheep,7.0,103.3,swelling in muscle,loss of appetite,difficulty walking,blackleg
buffalo,4.0,101.4,depression,loss of appetite,painless lumps,pneumonia
cow,8.0,101.1,painless lumps,loss of appetite,depression,pneumonia
goat,2.0,102.2,loss of appetite,difficulty walking,sores on mouth,foot and mouth
goat,10.0,102.3,depression,painless lumps,loss of appetite,pneumonia
buffalo,6.0,101.3,sores on gums,difficulty walking,loss of appetite,foot and mouth
cow,5.0,102.5,swelling in limb,loss of appetite,lameness,blackleg
cow,3.0,101.3,depression,painless lumps,loss of appetite,lumpy virus
sheep,7.0,101.1,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,3.0,101.1,painless lumps,depression,loss of appetite,pneumonia
buffalo,13.0,103.4,fatigue,chills,swelling in extremities,anthrax
buffalo,6.0,101.2,painless lumps,depression,loss of appetite,pneumonia
cow,6.0,101.9,chest discomfort,chills,shortness of breath,anthrax
goat,5.0,102.6,loss of appetite,lameness,sores on mouth,foot and mouth
buffalo,12.0,102.2,loss of appetite,difficulty walking,sores on tongue,foot and mouth
sheep,7.0,101.5,loss of appetite,swelling in limb,depression,blackleg
buffalo,5.0,103.4,painless lumps,loss of appetite,depression,lumpy virus
cow,5.0,104.1,painless lumps,depression,loss of appetite,lumpy virus
cow,11.0,102.4,painless lumps,loss of appetite,depression,lumpy virus
cow,10.0,103.6,swelling in limb,depression,lameness,blackleg
buffalo,3.0,103.5,lameness,loss of appetite,sores on hooves,foot and mouth
sheep,10.0,100.8,depression,loss of appetite,painless lumps,pneumonia
cow,11.0,101.2,lameness,swelling in muscle,crackling sound,blackleg
cow,2.0,102.1,crackling sound,depression,swelling in muscle,blackleg
goat,1.0,103.7,painless lumps,depression,loss of appetite,lumpy virus
buffalo,14.0,100.7,depression,painless lumps,loss of appetite,lumpy virus
cow,14.0,100.2,depression,swelling in limb,crackling sound,blackleg
buffalo,6.0,100.8,painless lumps,depression,loss of appetite,lumpy virus
goat,2.0,102.5,loss of appetite,crackling sound,depression,blackleg
buffalo,15.0,103.9,swelling in limb,loss of appetite,lameness,blackleg
goat,6.0,102.2,loss of appetite,swelling in limb,depression,blackleg
sheep,3.0,103.5,swelling in neck,shortness of breath,chest discomfort,anthrax
cow,12.0,100.5,depression,loss of appetite,painless lumps,lumpy virus
buffalo,6.0,101.4,loss of appetite,painless lumps,depression,pneumonia
cow,15.0,100.3,loss of appetite,lameness,crackling sound,blackleg
buffalo,5.0,100.4,depression,painless lumps,loss of appetite,lumpy virus
buffalo,7.0,101.4,swelling in muscle,crackling sound,depression,blackleg
sheep,10.0,104.1,swelling in neck,shortness of breath,fatigue,anthrax
sheep,7.0,102.4,sores on tongue,loss of appetite,lameness,foot and mouth
buffalo,4.0,100.5,painless lumps,loss of appetite,depression,pneumonia
goat,6.0,102.9,loss of appetite,painless lumps,depression,pneumonia
cow,5.0,102.3,blisters on mouth,lameness,loss of appetite,foot and mouth
buffalo,5.0,103.6,depression,loss of appetite,painless lumps,pneumonia
goat,5.0,100.1,painless lumps,depression,loss of appetite,pneumonia
goat,6.0,103.9,chills,chest discomfort,swelling in extremities,anthrax
cow,6.0,100.4,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
cow,8.0,101.8,loss of appetite,painless lumps,depression,pneumonia
buffalo,5.0,103.6,loss of appetite,difficulty walking,sores on tongue,foot and mouth
sheep,8.0,100.5,painless lumps,depression,loss of appetite,pneumonia
cow,15.0,100.9,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,14.0,100.9,depression,loss of appetite,lameness,blackleg
goat,5.0,100.0,shortness of breath,chest discomfort,sweats,anthrax
sheep,6.0,101.8,painless lumps,depression,loss of appetite,lumpy virus
buffalo,1.0,104.7,lameness,blisters on tongue,loss of appetite,foot and mouth
buffalo,10.0,101.8,loss of appetite,painless lumps,depression,lumpy virus
goat,4.0,101.8,lameness,sores on mouth,loss of appetite,foot and mouth
sheep,4.0,102.8,chest discomfort,sweats,swelling in neck,anthrax
cow,12.0,100.9,crackling sound,lameness,swelling in muscle,blackleg
goat,5.0,100.2,swelling in neck,chills,fatigue,anthrax
goat,9.0,100.6,swelling in muscle,lameness,depression,blackleg
sheep,4.0,103.4,depression,painless lumps,loss of appetite,lumpy virus
sheep,8.0,100.7,crackling sound,depression,swelling in limb,blackleg
cow,8.0,104.7,depression,swelling in limb,crackling sound,blackleg
cow,15.0,104.4,depression,loss of appetite,painless lumps,pneumonia
sheep,7.0,102.7,depression,painless lumps,loss of appetite,pneumonia
sheep,1.0,101.9,painless lumps,loss of appetite,depression,lumpy virus
goat,4.0,101.6,depression,difficulty walking,crackling sound,blackleg
cow,6.0,100.5,depression,painless lumps,loss of appetite,lumpy virus
goat,8.0,102.9,depression,crackling sound,loss of appetite,blackleg
buffalo,12.0,103.9,blisters on gums,loss of appetite,difficulty walking,foot and mouth
goat,4.0,103.7,chills,shortness of breath,fatigue,anthrax
cow,5.0,101.2,difficulty walking,blisters on gums,loss of appetite,foot and mouth
sheep,7.0,103.6,depression,painless lumps,loss of appetite,pneumonia
goat,3.0,102.3,blisters on gums,loss of appetite,lameness,foot and mouth
buffalo,1.0,101.8,chills,chest discomfort,shortness of breath,anthrax
cow,10.0,102.7,loss of appetite,painless lumps,depression,pneumonia
cow,11.0,100.5,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
goat,8.0,104.3,depression,painless lumps,loss of appetite,pneumonia
goat,8.0,102.1,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
goat,2.0,102.6,difficulty walking,sores on tongue,loss of appetite,foot and mouth
buffalo,14.0,100.6,loss of appetite,difficulty walking,sores on tongue,foot and mouth
goat,4.0,100.4,shortness of breath,sweats,fatigue,anthrax
sheep,9.0,103.7,painless lumps,depression,loss of appetite,lumpy virus
goat,2.0,102.5,painless lumps,loss of appetite,depression,pneumonia
sheep,7.0,101.2,fatigue,swelling in extremities,sweats,anthrax
buffalo,5.0,100.0,painless lumps,loss of appetite,depression,pneumonia
sheep,8.0,103.1,fatigue,swelling in extremities,chills,anthrax
